placement	415_mean	415_ptp	415_std	415_median	415_var	445_mean	445_ptp	445_std	445_median	445_var	480_mean	480_ptp	480_std	480_median	480_var	515_mean	515_ptp	515_std	515_median	515_var	555_mean	555_ptp	555_std	555_median	555_var	590_mean	590_ptp	590_std	590_median	590_var	630_mean	630_ptp	630_std	630_median	630_var	680_mean	680_ptp	680_std	680_median	680_var	910_mean	910_ptp	910_std	910_median	910_var
uncoupled moving coupled	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class																																													
coupled	2956.875	277	93.1933	2944.0	8684.98	12605.375	1191	399.441	12555.5	159553	5612.375	507	170.646	5583.0	29120	16596.000	1555	521.332	16522.5	271787	24810.250	883	283.946	24807.0	80625.4	27242.750	1066	324.525	27270.0	105316	24093.250	1050	321.625	24146.5	103443	12311.375	525	163.26	12340.0	26653.7	3382.500	110	36.8161	3394.0	1355.43
coupled	3062.375	124	38.5818	3062.5	1488.55	13054.125	540	168.052	13057.5	28241.6	5820.375	229	70.8599	5825.0	5021.12	17197.750	666	208.21	17204.5	43351.4	25284.000	564	224.504	25344.0	50402	27783.250	545	216.819	27866.5	47010.5	24601.875	426	166.907	24654.5	27857.8	12572.875	215	84.4215	12599.0	7126.98	3442.500	61	24.2899	3451.0	590
coupled	3131.875	59	21.0675	3139.0	443.839	13353.375	257	92.733	13385.5	8599.41	5954.250	108	39.6872	5968.5	1575.07	17591.250	322	115.733	17631.5	13394.2	25822.625	358	100.95	25818.5	10190.8	28283.125	332	98.0633	28288.5	9616.41	24986.750	237	80.0031	24984.5	6400.5	12772.375	119	40.3589	12771.0	1628.84	3498.750	34	10.4163	3498.5	108.5
coupled	3095.000	55	19.7918	3090.0	391.714	13197.125	241	87.6412	13176.0	7680.98	5894.125	102	40.6393	5891.0	1651.55	17401.750	313	118.153	17384.5	13960.2	25551.000	850	271.285	25568.5	73595.7	27975.875	933	295.295	27995.0	87199.3	24704.625	808	257.204	24710.5	66153.7	12633.375	405	129.286	12636.5	16714.8	3465.750	104	33.1652	3468.0	1099.93
moving	2810.500	1266	500.071	3101.0	250071	11966.750	5431	2140.89	13211.5	4.58343e+06	5322.500	2455	973.791	5892.5	948268	15820.750	7028	2758.64	17409.5	7.6101e+06	23114.500	10699	4413.02	24896.0	1.94747e+07	25097.625	11845	4923.55	27089.5	2.42413e+07	21969.625	10574	4392.1	23821.5	1.92906e+07	11227.125	5425	2257.98	12188.5	5.09849e+06	3286.375	805	318.936	3404.5	101720
moving	1767.125	514	157.833	1753.5	24911.3	7453.375	2259	691.802	7397.0	478591	3302.500	942	290.055	3275.5	84132	9939.125	2964	909.914	9858.5	827943	14756.625	6910	2082.04	14364.5	4.33488e+06	16003.000	7415	2233.65	15603.0	4.98918e+06	14083.750	6257	1879.94	13763.0	3.53419e+06	7206.875	3153	947.944	7045.5	898598	2654.000	766	222.768	2614.0	49625.4
uncoupled	1816.875	144	58.1241	1811.0	3378.41	7652.125	635	255.721	7626.5	65393.3	3397.125	264	109.173	3393.0	11918.7	10252.875	823	339.014	10237.0	114931	15106.750	709	249.876	15053.5	62437.9	16321.375	787	278.161	16257.5	77373.7	14322.875	695	244.767	14263.0	59910.7	7329.375	351	122.898	7297.5	15104	2712.500	83	27.2134	2708.0	740.571
uncoupled	1832.500	86	27.2606	1828.5	743.143	7714.250	376	120.815	7698.5	14596.2	3437.875	161	50.3174	3430.0	2531.84	10371.875	500	155.981	10346.5	24330.1	15305.000	892	306.707	15260.5	94069.4	16547.250	983	337.658	16512.5	114013	14530.125	848	288.56	14509.5	83266.7	7440.375	423	144.272	7428.0	20814.3	2741.250	99	32.1992	2730.0	1036.79
uncoupled	1836.000	95	34.8302	1831.5	1213.14	7725.500	410	149.548	7705.0	22364.6	3448.500	177	64.8999	3439.0	4212	10406.000	555	203.664	10378.5	41478.9	15428.125	795	303.577	15390.5	92159.3	16663.250	853	327.936	16618.5	107542	14606.250	725	276.676	14565.0	76549.6	7483.625	366	140.391	7462.5	19709.7	2759.500	112	37.7927	2757.5	1428.29
uncoupled	1941.875	105	32.6472	1949.0	1065.84	8178.250	444	137.995	8212.5	19042.5	3645.875	190	58.6672	3659.0	3441.84	11014.625	599	185.581	11057.0	34440.3	16140.875	958	292.524	16173.0	85570.4	17440.000	953	298.358	17497.0	89017.4	15274.750	758	242.661	15345.0	58884.5	7820.375	390	123.672	7852.5	15294.8	2845.125	111	35.5465	2852.5	1263.55
moving	3434.375	1722	555.536	3589.5	308620	14829.000	7767	2482.75	15440.5	6.16403e+06	6561.625	3414	1087.28	6886.0	1.18218e+06	19301.125	9714	3070.32	20102.0	9.42687e+06	28461.500	7228	2744.94	29382.0	7.53468e+06	31240.000	8193	3106.19	32198.5	9.64841e+06	27487.875	7202	2811.22	28342.5	7.90294e+06	14015.375	3575	1389.15	14405.5	1.92974e+06	3933.875	1025	388.772	4039.0	151144
moving	3488.250	1281	480.782	3318.5	231151	15046.625	5747	2162.82	14276.5	4.67777e+06	6593.500	2435	921.304	6289.5	848802	19414.250	7086	2645.34	18479.5	6.99783e+06	28326.750	16008	4738.44	28223.5	2.24528e+07	31006.125	17444	5172.73	30971.5	2.67571e+07	27251.625	15284	4570.96	27189.0	2.08937e+07	13875.125	7721	2301.73	13825.5	5.29796e+06	3920.125	2057	617.505	3875.0	381313
moving	3305.625	1274	521.038	3414.0	271481	14332.000	5869	2371.67	14793.5	5.62482e+06	6207.250	2463	990.825	6411.0	981734	18259.875	6893	2813.82	18914.0	7.91761e+06	26615.375	20334	6480.25	29112.5	4.19936e+07	28888.875	21879	6987.85	31690.5	4.88301e+07	25181.125	18793	6013.03	27715.5	3.61565e+07	12800.750	9376	2987.95	14062.5	8.92784e+06	3629.625	2704	838.276	3959.5	702706
moving	3759.375	1388	443.414	3726.5	196616	16276.750	6225	1978.86	16113.0	3.91589e+06	7079.000	2616	837.467	7021.5	701351	20848.250	7492	2415.83	20690.5	5.83621e+06	30174.500	12619	4802.83	29318.5	2.30671e+07	32492.000	13713	5053.36	31846.0	2.55364e+07	28038.750	11656	4255.9	27718.5	1.81127e+07	14262.875	5728	2143.28	14086.5	4.59364e+06	4058.875	1542	583.611	3963.0	340602
moving	1020.125	3670	1651.46	131.5	2.72731e+06	4114.125	16286	7333.42	159.5	5.37791e+07	1881.625	6947	3114.02	203.5	9.6971e+06	5306.375	20804	9346.9	267.5	8.73645e+07	4237.000	31354	11076.5	329.0	1.2269e+08	4560.875	33254	11745.7	423.0	1.37962e+08	4070.500	28257	9976.09	560.5	9.95224e+07	2425.500	14047	4952.88	685.5	2.4531e+07	1887.250	2919	961.742	1646.5	924948
moving	592.000	971	501.612	554.0	251615	3305.875	6481	3378.08	3060.5	1.14114e+07	1120.000	1921	995.588	1045.0	991195	2335.000	4284	2226.78	2170.0	4.95854e+06	2014.625	3501	1841.49	2035.0	3.39108e+06	1562.500	2493	1285.95	1594.0	1.65367e+06	1309.375	1767	874.233	1354.5	764283	839.250	662	267.962	898.5	71803.6	1006.375	1266	611.468	700.0	373893
coupled	3583.375	252	91.2484	3605.0	8326.27	15185.250	1123	404.434	15278.0	163567	6746.875	525	184.284	6793.0	33960.4	20066.625	1443	514.268	20205.5	264472	29987.250	1903	619.565	30009.0	383861	33006.375	1921	668.803	33104.0	447297	28858.125	1619	595.33	29003.0	354418	14807.750	825	299.726	14880.5	89835.6	4066.875	209	75.5748	4063.5	5711.55
coupled	3645.625	510	170.476	3705.0	29062	15446.875	2216	735.832	15693.5	541449	6870.500	978	312.094	6948.5	97402.6	20432.500	2798	924.584	20725.5	854855	29942.125	5007	1658.02	30536.0	2.74902e+06	32879.875	5005	1604.5	33420.0	2.57441e+06	28729.500	3872	1197.29	29001.5	1.4335e+06	14758.250	1934	597.317	14892.0	356787	4057.125	564	175.609	4107.5	30838.7
coupled	3221.250	560	223.227	3176.5	49830.5	13604.875	2479	988.063	13358.5	976268	6084.125	1064	426.945	5990.0	182282	18047.250	3099	1234.22	17833.5	1.5233e+06	27420.500	4722	1560.68	27898.5	2.43571e+06	30407.500	5320	1769.15	30998.5	3.12989e+06	26855.125	4804	1628.02	27478.0	2.65046e+06	13808.500	2411	812.176	14112.5	659630	3773.875	603	202.263	3838.5	40910.1
moving	3179.125	759	228.304	3176.5	52122.7	13358.500	3318	997.94	13375.5	995885	5962.875	1529	458.695	5929.0	210401	17791.500	4239	1276.1	17752.5	1.62844e+06	25824.625	2680	864.675	25848.0	747662	28628.875	2408	865.676	28657.0	749395	25277.625	2128	750.654	25143.5	563482	13002.875	1113	384.99	12921.5	148217	3704.000	302	99.3982	3708.5	9880
moving	3465.500	1141	397.454	3248.0	157970	14586.875	4859	1719.97	13603.0	2.95829e+06	6507.000	2231	777.741	6106.5	604881	19435.000	6377	2203.59	18289.0	4.85579e+06	28454.375	13193	4826.11	26770.5	2.32913e+07	31237.250	14274	5264.7	29385.0	2.7717e+07	27193.625	12501	4603.78	25563.5	2.11948e+07	13985.625	6357	2342.29	13166.5	5.48633e+06	3946.625	1472	508.284	3754.5	258353
moving	2043.125	1716	584.88	2010.5	342085	8473.875	7303	2482.38	8350.0	6.16223e+06	3824.750	3213	1095.21	3768.5	1.19949e+06	11396.250	9820	3346.74	11260.0	1.12007e+07	18181.125	13737	5587.35	17215.0	3.12184e+07	20123.750	14982	6076.31	19205.5	3.69216e+07	17651.750	12788	5199.38	16965.5	2.70335e+07	9188.000	6339	2589.41	8791.5	6.70506e+06	3120.625	845	258.83	3175.5	66993.1
uncoupled	1655.375	381	130.897	1630.5	17134	6795.750	1654	565.816	6686.0	320148	3091.875	698	238.701	3047.5	56978.1	9161.125	2210	756.617	9020.0	572469	13876.125	2681	972.585	13640.5	945921	15400.500	2823	1038.48	15169.5	1.07845e+06	13608.000	2338	873.232	13416.0	762534	7165.000	1127	419.798	7085.5	176230	3012.625	396	125.904	3010.5	15851.7
uncoupled	1870.875	300	101.898	1910.0	10383.3	7756.125	1308	446.206	7935.5	199100	3490.250	564	193.135	3571.0	37301.1	10455.875	1787	607.836	10701.0	369465	15988.250	1470	632.714	16025.5	400326	17646.375	1680	694.22	17674.0	481941	15493.500	1580	616.401	15511.0	379950	8098.500	807	315.381	8109.5	99465.4	2865.125	242	76.8495	2865.0	5905.84
uncoupled	1838.500	181	54.0502	1829.5	2921.43	7599.375	755	223.732	7567.5	50056	3421.250	323	94.8875	3410.0	9003.64	10199.750	1018	297.241	10162.0	88351.9	15084.500	1018	313.526	15103.0	98298.6	16739.750	1246	377.474	16752.5	142486	14803.750	1182	353.165	14815.0	124725	7752.375	583	173.063	7753.5	29950.8	2987.750	342	107.374	2950.5	11529.1
moving	1707.875	308	109.468	1712.0	11983.3	7032.125	1332	467.661	7036.5	218707	3192.750	560	197.758	3183.5	39108.2	9462.625	1748	620.676	9458.0	385239	15853.125	17903	5964.22	14019.5	3.55719e+07	17609.500	19400	6479.88	15654.0	4.19888e+07	15598.875	16789	5631.23	13930.0	3.17107e+07	8159.375	8451	2837.7	7302.5	8.05255e+06	3060.125	1266	418.278	2909.5	174957
moving	2741.750	2260	748.664	2771.0	560497	11552.250	9769	3229.93	11696.0	1.04324e+07	5141.625	4240	1415.95	5207.5	2.00493e+06	15321.500	12633	4207.12	15544.5	1.76998e+07	26218.750	13219	4533.77	26418.5	2.05551e+07	28916.375	14688	4931.15	29085.5	2.43163e+07	25503.250	13119	4311.08	25564.5	1.85854e+07	13140.375	6690	2198.54	13166.0	4.83356e+06	3578.625	1415	491.416	3591.0	241490
moving	2746.250	3419	1031.78	2789.0	1.06457e+06	11523.875	15123	4518.91	11714.0	2.04206e+07	5139.625	6433	1941.6	5212.0	3.7698e+06	15152.125	19472	5848.5	15475.5	3.4205e+07	22109.625	18327	5908.61	23150.0	3.49117e+07	24771.750	20390	6580.5	25707.5	4.33029e+07	22010.500	17856	5792.76	22665.0	3.35561e+07	11353.250	8812	2868.27	11637.5	8.22697e+06	3449.000	1232	382.232	3489.0	146101
moving	2132.250	1476	568.258	2155.5	322918	8885.875	6526	2510.54	9011.0	6.30282e+06	3958.375	2750	1060.64	3998.5	1.12497e+06	11758.375	8481	3274.12	11931.5	1.07199e+07	19684.000	16111	5258.61	20245.5	2.7653e+07	21697.125	17325	5672.05	22209.0	3.21721e+07	18990.500	14908	4874.2	19373.5	2.37579e+07	9816.875	7423	2428.54	9988.0	5.8978e+06	3137.125	1263	439.932	3080.0	193540
moving	2671.875	2287	852.819	2569.5	727300	11287.250	10019	3708.8	10859.0	1.37552e+07	4974.375	4271	1585.79	4806.0	2.51474e+06	14851.875	12870	4778.11	14387.0	2.28304e+07	22294.125	15086	5434.95	20642.0	2.95387e+07	24264.875	16160	5814.38	22455.5	3.38071e+07	21015.250	13800	4965.7	19431.0	2.46582e+07	10839.000	6896	2474.13	10033.5	6.1213e+06	3414.000	1108	367.104	3474.0	134765
moving	1098.125	3370	1357.57	429.5	1.84299e+06	3847.625	15066	6244.74	572.5	3.89967e+07	1924.125	6390	2596.81	624.0	6.74343e+06	5111.250	19620	8137.9	870.0	6.62254e+07	9864.500	40599	16718.9	1031.0	2.79522e+08	10906.625	43859	18027.4	1432.5	3.24988e+08	10000.875	37144	15176.8	2089.5	2.30334e+08	6217.125	17873	7100.97	2732.5	5.04238e+07	5874.500	2513	812.164	6057.5	659611
